id_estacion,lat,lon,barrio,barrio
383,-34.5717986,-58.48954089999999,VILLA URQUIZA,VILLA URQUIZA
85,-34.5948057,-58.4091784,RECOLETA,RECOLETA
375,-34.604597356692906,-58.484812116143225,VILLA DEL PARQUE,VILLA DEL PARQUE
512,-34.5816148,-58.47505689999999,PARQUE CHAS,PARQUE CHAS
46,-34.6163729,-58.37436969999998,SAN TELMO,SAN TELMO
318,-34.603936,-58.457317,VILLA CRESPO,VILLA CRESPO
75,-34.6122976,-58.3989871,BALVANERA,BALVANERA
278,-34.564122,-58.46981300000001,COGHLAN,COGHLAN
501,-34.5492488,-58.4619408,NUÑEZ,NUÑEZ
455,-34.62652,-58.50804999999999,MONTE CASTRO,MONTE CASTRO
208,-34.5807161,-58.43840400000001,PALERMO,PALERMO
222,-34.5759189160704,-58.41854288458634,PALERMO,PALERMO
242,-34.57694914795284,-58.40398420287857,PALERMO,PALERMO
73,-34.6306814,-58.3718235,BARRACAS,BARRACAS
486,-34.5420905,-58.47056989999999,NUÑEZ,NUÑEZ
41,-34.6371232,-58.40588830000001,PARQUE PATRICIOS,PARQUE PATRICIOS
44,-34.5755148,-58.4138829,PALERMO,PALERMO
166,-34.588346663239754,-58.39414794286564,RECOLETA,RECOLETA
379,-34.5602,-58.4281,PALERMO,PALERMO
515,-34.57424606980564,-58.41465533223048,PALERMO,PALERMO
518,-34.5738986,-58.431782000000005,PALERMO,PALERMO
429,-34.63897407331851,-58.51010241799405,LINIERS,LINIERS
487,-34.55813699999999,-58.46725929999999,BELGRANO,BELGRANO
473,-34.6134032,-58.4933583,VILLA DEL PARQUE,VILLA DEL PARQUE
476,-34.6182924,-58.4985253,MONTE CASTRO,MONTE CASTRO
153,-34.6310284,-58.36288800000001,BOCA,BOCA
216,-34.589968,-58.411493,PALERMO,PALERMO
65,-34.5873124,-58.4157873,PALERMO,PALERMO
527,-34.588727,-58.43838599999999,PALERMO,PALERMO
385,-34.606159914753725,-58.49314134520765,VILLA DEL PARQUE,VILLA DEL PARQUE
61,-34.6189273,-58.50517690000001,MONTE CASTRO,MONTE CASTRO
207,-34.65237685302847,-58.48735935690687,MATADEROS,MATADEROS
302,-34.6518464,-58.41577099999999,NUEVA POMPEYA,NUEVA POMPEYA
457,-34.62805,-58.52174,VERSALLES,VERSALLES
466,-34.608096,-58.41183969999999,BALVANERA,BALVANERA
492,-34.6097105,-58.4215633,ALMAGRO,ALMAGRO
420,-34.5446,-58.43959999999999,BELGRANO,BELGRANO
280,-34.633528,-58.44937899999999,PARQUE CHACABUCO,PARQUE CHACABUCO
175,-34.626851,-58.380707,CONSTITUCION,CONSTITUCION
112,-34.612075,-58.38038400000001,MONSERRAT,MONSERRAT
529,-34.61325931284073,-58.43011879451216,ALMAGRO,ALMAGRO
400,-34.57899,-58.46982,VILLA ORTUZAR,VILLA ORTUZAR
104,-34.587617,-58.45521200000001,CHACARITA,CHACARITA
384,-34.57951881156862,-58.46183473148808,VILLA ORTUZAR,VILLA ORTUZAR
372,-34.636406,-58.470136,FLORES,FLORES
368,-34.59807,-58.482079,AGRONOMIA,AGRONOMIA
50,-34.5837348,-58.4010798,PALERMO,PALERMO
177,-34.568165,-58.412121,PALERMO,PALERMO
366,-34.6352784,-58.48253270000001,VELEZ SARSFIELD,VELEZ SARSFIELD
308,-34.567633,-58.436752000000006,PALERMO,PALERMO
475,-34.6165412,-58.52601810000001,VILLA REAL,VILLA REAL
69,-34.5961006,-58.4046092,RECOLETA,RECOLETA
504,-34.6247196,-58.47518040000001,FLORES,FLORES
148,-34.6451767192088,-58.484555279762255,PARQUE AVELLANEDA,PARQUE AVELLANEDA
538,-34.545091,-58.451432,NUÑEZ,NUÑEZ
3,-34.61220714255728,-58.369129063789,MONSERRAT,MONSERRAT
24,-34.610583,-58.38089430000001,MONSERRAT,MONSERRAT
51,-34.6014776,-58.3821261,SAN NICOLAS,SAN NICOLAS
60,-34.6016509,-58.37107900000001,SAN NICOLAS,SAN NICOLAS
228,-34.6164879,-58.3656683,PUERTO MADERO,PUERTO MADERO
155,-34.645082199430064,-58.41749173359584,NUEVA POMPEYA,NUEVA POMPEYA
340,-34.54754,-58.46784399999999,NUÑEZ,NUÑEZ
322,-34.551304,-58.454181,BELGRANO,BELGRANO
519,-34.59291496187579,-58.375442711639394,RETIRO,RETIRO
252,-34.647121,-58.374336,BARRACAS,BARRACAS
76,-34.6074084,-58.39505479999999,BALVANERA,BALVANERA
241,-34.600874,-58.494123,VILLA DEL PARQUE,VILLA DEL PARQUE
162,-34.608985,-58.401924,BALVANERA,BALVANERA
267,-34.5976121,-58.4985424,VILLA DEVOTO,VILLA DEVOTO
465,-34.5904625,-58.5071166,VILLA DEVOTO,VILLA DEVOTO
323,-34.565409,-58.459298,BELGRANO,BELGRANO
158,-34.592735,-58.4450697,VILLA CRESPO,VILLA CRESPO
251,-34.641728,-58.402483,PARQUE PATRICIOS,PARQUE PATRICIOS
453,-34.6294802,-58.49448539999998,VELEZ SARSFIELD,VELEZ SARSFIELD
237,-34.63670935917866,-58.501355258102926,VILLA LURO,VILLA LURO
167,-34.606984,-58.44854,VILLA CRESPO,VILLA CRESPO
194,-34.6060758,-58.42246349999999,ALMAGRO,ALMAGRO
260,-34.5530794109,-58.43522348866,BELGRANO,BELGRANO
255,-34.622092,-58.448547000000005,CABALLITO,CABALLITO
124,-34.58111437500588,-58.41262482341766,PALERMO,PALERMO
436,-34.57653,-58.44348999999999,COLEGIALES,COLEGIALES
45,-34.6018635,-58.38669339999999,SAN NICOLAS,SAN NICOLAS
469,-34.5934185,-58.513837,VILLA DEVOTO,VILLA DEVOTO
336,-34.5997308,-58.5111458,VILLA DEVOTO,VILLA DEVOTO
87,-34.619845,-58.4314942,CABALLITO,CABALLITO
49,-34.629176084274704,-58.42481977731553,BOEDO,BOEDO
219,-34.6360274,-58.4156332,BOEDO,BOEDO
257,-34.570825,-58.48123600000001,VILLA URQUIZA,VILLA URQUIZA
36,-34.6010599,-58.3745346,SAN NICOLAS,SAN NICOLAS
506,-34.569435,-58.399369,PALERMO,PALERMO
434,-34.54569,-58.465140000000005,NUÑEZ,NUÑEZ
116,-34.59147195496799,-58.40128182310524,RECOLETA,RECOLETA
188,-34.62393,-58.39124999999999,CONSTITUCION,CONSTITUCION
101,-34.5891857,-58.4424397,CHACARITA,CHACARITA
480,-34.6293335,-58.48360279999999,FLORESTA,FLORESTA
269,-34.577329,-58.45779900000001,COLEGIALES,COLEGIALES
491,-34.61200399005994,-58.44215423439331,CABALLITO,CABALLITO
461,-34.58088,-58.49363000000001,VILLA PUEYRREDON,VILLA PUEYRREDON
355,-34.567483,-58.446381,PALERMO,PALERMO
57,-34.61324972988651,-58.37064512890549,MONSERRAT,MONSERRAT
471,-34.5947293,-58.5033086,VILLA DEVOTO,VILLA DEVOTO
348,-34.610482,-58.474369,VILLA GRAL. MITRE,VILLA GRAL. MITRE
58,-34.5752773,-58.434688300000005,PALERMO,PALERMO
474,-34.6108915,-58.50301999999999,MONTE CASTRO,MONTE CASTRO
428,-34.587458,-58.4739506,PARQUE CHAS,PARQUE CHAS
387,-34.602028,-58.465568000000005,PATERNAL,PATERNAL
358,-34.56031055981906,-58.46364346441801,BELGRANO,BELGRANO
511,-34.575441,-58.46268899999999,COLEGIALES,COLEGIALES
174,-34.597225,-58.39176799999999,RECOLETA,RECOLETA
273,-34.616758,-58.446751,CABALLITO,CABALLITO
482,-34.550468,-58.430024,BELGRANO,BELGRANO
484,-34.5554843,-58.4768041,COGHLAN,COGHLAN
311,-34.5972098,-58.47421142999999,PATERNAL,PATERNAL
253,-34.6163544,-58.4170737,ALMAGRO,ALMAGRO
427,-34.648402,-58.51364480000001,LINIERS,LINIERS
412,-34.6604476,-58.432016800000014,VILLA SOLDATI,VILLA SOLDATI
307,-34.6499971,-58.42477299999999,NUEVA POMPEYA,NUEVA POMPEYA
521,-34.59646530000001,-58.46638409999999,PATERNAL,PATERNAL
408,-34.56912,-58.50025,VILLA URQUIZA,VILLA URQUIZA
371,-34.6317,-58.45534000000001,FLORES,FLORES
245,-34.552594,-58.4429397,BELGRANO,BELGRANO
335,-34.615945,-58.47098,VILLA GRAL. MITRE,VILLA GRAL. MITRE
454,-34.63403,-58.50694000000001,VILLA LURO,VILLA LURO
481,-34.6430378,-58.5127001,LINIERS,LINIERS
361,-34.569187,-58.453608,COLEGIALES,COLEGIALES
425,-34.643012510740405,-58.42284285277861,NUEVA POMPEYA,NUEVA POMPEYA
309,-34.62141207128675,-58.51978098730659,VILLA REAL,VILLA REAL
363,-34.6439,-58.46311399999999,FLORES,FLORES
488,-34.5657087,-58.49521839999999,VILLA URQUIZA,VILLA URQUIZA
176,-34.555254,-58.494845000000005,SAAVEDRA,SAAVEDRA
485,-34.553465,-58.42143999999999,PALERMO,PALERMO
197,-34.620998,-58.493044,FLORESTA,FLORESTA
64,-34.5936508,-58.3941087,RECOLETA,RECOLETA
247,-34.5838957,-58.466494,VILLA ORTUZAR,VILLA ORTUZAR
531,-34.63362230949344,-58.52125773107453,VERSALLES,VERSALLES
265,-34.64196,-58.4505,FLORES,FLORES
422,-34.56454,-58.50289,SAAVEDRA,SAAVEDRA
324,-34.578933,-58.4840556,VILLA URQUIZA,VILLA URQUIZA
333,-34.6008,-58.50335,VILLA DEL PARQUE,VILLA DEL PARQUE
22,-34.5938629,-58.3825498,RETIRO,RETIRO
291,-34.617247,-58.381627,MONSERRAT,MONSERRAT
349,-34.5703869,-58.4663122,BELGRANO,BELGRANO
431,-34.542628,-58.43691299999999,BELGRANO,BELGRANO
376,-34.6274033,-58.48811179999999,FLORESTA,FLORESTA
490,-34.56477054,-58.402021,PALERMO,PALERMO
7,-34.606498,-58.381098,SAN NICOLAS,SAN NICOLAS
532,-34.573033051099245,-58.5039082871025,VILLA PUEYRREDON,VILLA PUEYRREDON
373,-34.582336918286785,-58.48108314683206,PARQUE CHAS,PARQUE CHAS
464,-34.541,-58.4441,BELGRANO,BELGRANO
378,-34.623123,-58.468287,FLORES,FLORES
342,-34.616813,-58.484297,VILLA SANTA RITA,VILLA SANTA RITA
497,-34.5744245,-58.4962318,VILLA URQUIZA,VILLA URQUIZA
509,-34.6336384,-58.48980999999999,VELEZ SARSFIELD,VELEZ SARSFIELD
505,-34.6226411,-58.48202029999999,VILLA SANTA RITA,VILLA SANTA RITA
248,-34.573522,-58.474635,VILLA URQUIZA,VILLA URQUIZA
270,-34.640114,-58.43026,PARQUE CHACABUCO,PARQUE CHACABUCO
537,-34.57080828710083,-58.45806148960133,COLEGIALES,COLEGIALES
330,-34.6008306,-58.47212710000001,PATERNAL,PATERNAL
359,-34.555602,-58.45047900000001,BELGRANO,BELGRANO
374,-34.6471,-58.46979999999999,PARQUE AVELLANEDA,PARQUE AVELLANEDA
138,-34.6353595,-58.3876724,BARRACAS,BARRACAS
525,-34.536691,-58.4668133,NUÑEZ,NUÑEZ
362,-34.56603251575768,-58.479879186508185,VILLA URQUIZA,VILLA URQUIZA
386,-34.5654,-58.4759,COGHLAN,COGHLAN
449,-34.62883578,-58.463297377,FLORES,FLORES
413,-34.66181712635796,-58.50133009838903,MATADEROS,MATADEROS
496,-34.5831596,-58.51316640000001,VILLA PUEYRREDON,VILLA PUEYRREDON
483,-34.5436888,-58.4771259,SAAVEDRA,SAAVEDRA
493,-34.5967435,-58.4594031,PATERNAL,PATERNAL
423,-34.559255,-58.487772,SAAVEDRA,SAAVEDRA
424,-34.639807,-58.39905000000001,PARQUE PATRICIOS,PARQUE PATRICIOS
498,-34.5865976,-58.49495850000001,VILLA PUEYRREDON,VILLA PUEYRREDON
92,-34.6316444,-58.4053386,PARQUE PATRICIOS,PARQUE PATRICIOS
264,-34.5559308,-58.4812325,SAAVEDRA,SAAVEDRA
203,-34.628757,-58.35625900000001,BOCA,BOCA
395,-34.596849288941584,-58.45327985794868,VILLA CRESPO,VILLA CRESPO
520,-34.67263155698435,-58.445517873322615,VILLA SOLDATI,VILLA SOLDATI
528,-34.6367055,-58.49528569999998,VILLA LURO,VILLA LURO
539,-34.626972970573625,-58.38060147088622,CONSTITUCION,CONSTITUCION
169,-34.613071183327094,-58.41497103862304,ALMAGRO,ALMAGRO
503,-34.6072013,-58.45640650000001,CABALLITO,CABALLITO
543,-34.60748033900249,-58.366741024467466,PUERTO MADERO,PUERTO MADERO
544,-34.600598,-58.382361,SAN NICOLAS,SAN NICOLAS
546,-34.6313039,-58.44176059999998,PARQUE CHACABUCO,PARQUE CHACABUCO
545,-34.62780084937208,-58.440321152114855,CABALLITO,CABALLITO
542,-34.55386,-58.41949999999999,PALERMO,PALERMO
540,-34.55771,-58.41033000000001,PALERMO,PALERMO
541,-34.55572,-58.41320999999999,,
443,-34.6544742,-58.39028691699999,BARRACAS,BARRACAS
313,-34.565003,-58.4449536,BELGRANO,BELGRANO
402,-34.5976121,-58.4985424,VILLA DEVOTO,VILLA DEVOTO
205,-34.583323,-58.428016,PALERMO,PALERMO
30,-34.5908211,-58.3973698,RECOLETA,RECOLETA
31,-34.6035878463712,-58.4388271999467,VILLA CRESPO,VILLA CRESPO
95,-34.5956529270942,-58.3691624793,RETIRO,RETIRO
459,-34.61072,-58.51914,VILLA DEVOTO,VILLA DEVOTO
233,-34.5539765,-58.4360367,BELGRANO,BELGRANO
523,-34.5708116,-58.4578677,COLEGIALES,COLEGIALES
214,-34.590541,-58.428974,PALERMO,PALERMO
456,-34.5831596,-58.5131664,VILLA PUEYRREDON,VILLA PUEYRREDON
20,-34.5809751,-58.4443269,COLEGIALES,COLEGIALES
84,-34.6042288,-58.3937375,BALVANERA,BALVANERA
294,-34.5471313,-58.4524657,BELGRANO,BELGRANO
249,-34.6506468,-58.3872342,BARRACAS,BARRACAS
462,-34.6701713,-58.4956397,VILLA LUGANO,VILLA LUGANO
447,-34.59339,-58.4657845,PATERNAL,PATERNAL
442,-34.5554843,-58.4768041,COGHLAN,COGHLAN
419,-34.5476039,-58.4565662,NUÑEZ,NUÑEZ
337,-34.5967435,-58.4594031,PATERNAL,PATERNAL
28,-34.6231273,-58.4127377,BOEDO,BOEDO
42,-34.6046074,-58.3800307,SAN NICOLAS,SAN NICOLAS
105,-34.6340844,-58.4008662,PARQUE PATRICIOS,PARQUE PATRICIOS
288,-34.6404886,-58.4429517,PARQUE CHACABUCO,PARQUE CHACABUCO
285,-34.6172122,-58.3561752,PUERTO MADERO,PUERTO MADERO
39,-34.6092213,-58.3876925,MONSERRAT,MONSERRAT
88,-34.612575,-58.404356,BALVANERA,BALVANERA
15,-34.6004,-58.3636706,PUERTO MADERO,PUERTO MADERO
40,-34.604461,-58.373499,SAN NICOLAS,SAN NICOLAS
295,-34.624802,-58.437683,CABALLITO,CABALLITO
106,-34.6152509,-58.3958827,BALVANERA,BALVANERA
377,-34.607333,-58.422987,ALMAGRO,ALMAGRO
290,-34.6186003,-58.4456027,CABALLITO,CABALLITO
226,-34.633335,-58.4132263,BOEDO,BOEDO
300,-34.5436888,-58.4771259,SAAVEDRA,SAAVEDRA
287,-34.6103343,-58.4409183,CABALLITO,CABALLITO
286,-34.6304712,-58.4551112,FLORES,FLORES
305,-34.612684,-58.44487,CABALLITO,CABALLITO
380,-34.6060382,-58.46481,VILLA GRAL. MITRE,VILLA GRAL. MITRE
283,-34.6355054,-58.456035,FLORES,FLORES
409,-34.65687,-58.416201,NUEVA POMPEYA,NUEVA POMPEYA
47,-34.6117408,-58.3733149,MONSERRAT,MONSERRAT
19,-34.5956027,-58.3776353,RETIRO,RETIRO
317,-34.5797368,-58.4578146,CHACARITA,CHACARITA
154,-34.6005484,-58.4122849,BALVANERA,BALVANERA
328,-34.598549,-58.397354,RECOLETA,RECOLETA
72,-34.6135421,-58.3746635,MONSERRAT,MONSERRAT
195,-34.6260785,-58.407389,SAN CRISTOBAL,SAN CRISTOBAL
341,-34.6142336,-58.4813858,VILLA SANTA RITA,VILLA SANTA RITA
303,-34.5577145,-58.4626871,BELGRANO,BELGRANO
293,-34.6264943,-58.4324405,CABALLITO,CABALLITO
351,-34.5717033,-58.4520772,COLEGIALES,COLEGIALES
